sssom:subject_id	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:object_source	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd2:UnitID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitID	2024-06-24			|unknown:undigitized
mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd2:UnitGUID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitGUID	2024-06-24			|unknown:undigitized
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:SourceInstitutionID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/SourceInstitutionID	2024-06-24			|unknown:undigitized
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:Unit-Owner-OrganisationGUID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:DataSet-Owner-OrganisationGUID	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized
mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-FullScientificNameString	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString	2024-06-24			|unknown:undigitized
mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-InformalNameString	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/InformalNameString	2024-06-24			|unknown:undigitized
mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-NamedIndividual	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual	2024-06-24			|unknown:undigitized
mids:ObjectType	mids:MIDS1	skos:exactMatch	abcd2:KindOfUnit	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/KindOfUnit	2024-06-24			|unknown:undigitized
mids:License	mids:MIDS1	skos:narrowMatch	abcd2:Unit-License-Text	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized
