sssom:subject_id	sssom:subject_label	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_label	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:reviewer_id	sssom:reviewer_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:catalogNumber	Catalog Number	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:otherCatalogNumbers	Other Catalog Numbers	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:materialEntityID	Material Entity ID	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:ownerInstitutionCode	Owner Institution Code	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionID	Institution ID	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionCode	Institution Code	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:Name	Name	mids:MIDS1	skos:narrowMatch	dwc:scientificName	Scientific Name	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:Name	Name	mids:MIDS1	skos:narrowMatch	dwc:vernacularName	Vernacular Name	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:Name	Name	mids:MIDS1	skos:narrowMatch	dwc:scientificNameID	Scientific Name ID	dwc-dp:material	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
mids:Name	Name	mids:MIDS1	skos:narrowMatch	dwc:scientificName	Scientific Name	dwc-dp:identification	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen			orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2026-01-22			|unknown:undigitized
