sssom:subject_id	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:reviewer_id	sssom:reviewer_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:ScientificNameID	mids3	skos:narrowMatch	gbif:taxonKey	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2024-06-26			|unknown:undigitized|unknown|Unknown|0
mids:Name	mids1	skos:narrowMatch	dwc:organismName	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			orcid:0000-0002-3973-1261	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:SpecimenType	mids1	skos:exactMatch	dwc:basisOfRecord	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1260	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:ObjectType	mids1	skos:exactMatch	dwc:preparations	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1261	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:License	mids1	skos:exactMatch	dc:license	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1262	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:Modified	mids1	skos:exactMatch	dc:modified	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1263	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:locality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1264	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:county	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1265	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:municipality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769	Mathias Dillen | Sam Leeflang			orcid:0000-0002-3973-1266	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
mids:QualitativeLocation	mids2	skos:narrowMatch	dwc:verbatimLocality	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			orcid:0000-0002-3973-1267	Mathias Dillen	rdf property	rdf property	2023-09			|unknown:undigitized|unknown|Unknown
